,text,Labels
310," @c  
Na ldka na ldki...sla beech wla bna k chhod dete h 
Kya fayda aisi surgery ka ?? 😒😏
Na to wo sperm produce kr skte kr na hi ovum",Not-Hope
1948, @Sudhakar  looo aagaya Khan ka baccha😂😂😂,Not-Hope
893,"12:23 
Cure ko cure chahiye sir 😹😹😹😹",Not-Hope
1131,"Thank you very much sir
Bhot achi shiksha prapat hui",Not-Hope
1449,jannat jahannam aur akhirat pr iman nhi rkhta h...,Not-Hope
3102,Okk,Not-Hope
15,itna kam volume,Not-Hope
2663,Sir kutiya choodne walo ko kya kahte hai,Not-Hope
721,"Bccho ki dhng see parwarish krni chaiyee.

Specially parents ko ladkoo pe zyada nigrani rkhni chahiye, kunki prostitution ki main jad toh yahi log hai. 
Inke hawas ke chakkar mai masoom ladkiyaa kidnap hoti hai. Ur kothe pe patak di jaati hai. 

Ladko pe jab tak control nhi hoga, tab tak ldkiyo ko surakshit mahol nhi milegaa. 
Baaki parinaam sab bhugat rahi hai; rape, gang rape, prostitution yeh sab ab aaam baat hoti jaa rhi hai.",Not-Hope
1420,No sir mere masi ka ek child transgender hai  but   wo  ghar me rahti hai or wo ek farmer hai,Not-Hope
2813,Good job bro. Very educational.,Not-Hope
981,Great teacher,Not-Hope
2254,"samjhane k leye kise ko bhee manually bemar bol doge 
shut up",Hope
1539,"Things that are wrong in chronological order of video-

 Heterosexuality is natural and normal 
And ""male aur female me attraction na ho to gadbad hai"", 

Lealsbianism is not a mental disorder

""Gay ladko me paya jata hai'- ye koi bimari ya  habit nhi hai jo paya jata hai, pls correct your language

Jaise male female attraction ko disorder, mentality, ya alag nhi kaha ja sakta , waise hi male male, female female , trans relationship, asexual , in logo ko bhi disorder, mentality nhi kaha ja sakta",Hope
2704, @Ayushman Mishra  Why,Not-Hope
1550,Hmm v gay hai 😧😔😔,Not-Hope
2588,Depends,Not-Hope
363,Inhone kuch galat nahi keya jo tmlog news bana k bech rahe ho...aurat ya mard hone se pahle  wo log ek human being H...wo jo feel kre..unki aatma jo ban k accha mahsus kre. Wahi banne me samajhdari H..na ki samaj k tucche niyam k anusar jine k leye mazbur hona..agar kisi Larke ko guriya se khelna pasand H or uska favourite colour pink H to tm log hauaa bana dete ho jaise ki usne koi gunhaa kr deya,Hope
982,Biology class,Not-Hope
182,Sabhi behno ko dil se salaam ☺️🤯😱,Not-Hope
985,"एक बात जो साफ है कि LGBTQ community के supporter कुछ दिनों बाद इस वीडियो को हटाने के लिए कहेंगे।
1:00",Hope
2168,Sir apke samjhane k trike ko mera🙏🙏🙏🙏🙏🙏🙏,Not-Hope
1194,"Just one thing to clear: homosexuality is not a mental disorder. It's not in your mind. It's in your DNA/GENES.
समलैंगिकता कोई मानसिक विकार नहीं है। यह उस इंसान की सोच नही होती,ये उसके डीएनए में ही होता है,इस पर उसके दिमाग का भी बस नहीं होता।",Hope
2266,Sir yeh jo ladyboy hote jo harmouns se apna gender change karwa lete hai unka finger print bhi change ho jate hai ya body ki sirf sangrachna ko change karte hai sharir ki banat Ekdom ladki jaisi ho jati par unka bhi penis hota hai,Not-Hope
1933,😂😂😂😂😂,Not-Hope
1121," @Aparajita & Leo vlogs  
agar aapko kisi se pyar nahi milta hai to yah, aapke confidence and psyche ko affect krta hai lekin koi aur aapki life mein aata hai jo aapke pyar ko value deta hai aur aapke liye chinta dikhata hai, to aap pahle ke lie apani feelings ko bhul jate hain aur aage badhate hain, unase pahale ek ke lie apni feelings ko bhule bina ab dusare ke lie or jyada pyar mahasoos karte hai..,..aap is bare mein kya sochate hai?",Not-Hope
2399,"Bhut acche se samjh me aya sir Ji, Thanku so much",Not-Hope
187,Mujhe achchha laga,Not-Hope
619,All these vedio about red light areas never reveal who really owns them..,Not-Hope
1862,Male and female hota h bro..or shemale kuch nahi hota she warna jaldi hemale bhi aajeyaga😁😂,Not-Hope
1175,May kabhi bhi mari female friends ki boyfriend se relashion soch bhi nahi sakti .. mari problem hai may kayse samjhau🙏🙏🙏,Not-Hope
1182,"You're a teacher, didn't expect from you ""ye ek tarike ka mansik rog samjhiye"". I mean you're no one to judge whether an other individual is normal or sick on the basis of their sexuality. That was very disappointing. 💔",Hope
2548,"L - lesbian
G- gay
B- bi sexual
T - transgender
Q - Quer
Quer किन्नर होता है",Not-Hope
2356, @Dhāīsa  pehle likhna to sikho,Not-Hope
614,Bhai es topic par to me bhi speech de dunga esme courage ki kya baat h bot ladkiya h jo bebak bolne ko ready h but ye log to famous logo ko he invite krte h.,Not-Hope
1513,Tomboy hona to thoda bahut patvarish par bhi depend karta hoga,Not-Hope
1466,"Hats off sir aap jitne ache ek teacher hai utne hi ache ek insaan bhi hai, Mai bhi es baat se 110 percent agree Karti hu ki Kabhi Kisi ki majburi Ka mazak Nahi urana chaiye.insaan ho to insaniyat rakho",Hope
401, @Karan Kumar  tumhari jo bhi soch ho ye jitne bhi log hai naa is video mein vo sare successful to it doesn't matter now bye,Not-Hope
994,Sir bisexual natural hota hai ya mentali hota hai ya  fir dono hota hai,Not-Hope
934,"Bahut din se confuse thi,ab clear hua.",Not-Hope
371,For me gaurav is awesome not gauri he is very handsome the way he is.... kismat ka khel hai kya karu....,Not-Hope
2375,Khan sir ka jabab he nhi aesa techer m kabhi m dekha nhi,Not-Hope
2319,Ek Channel Bana Do ..,Not-Hope
593, @Gameboit  in short yeh logo ki soch dikhata hai ki log kis tarah abhi bhi gaon ko ek unsafe place mantey hai. Jo ladkio key liye safe nhi hai.,Not-Hope
2120,हमारे कुछ बड़े बडे नेताओं मे भी गे और लेस्बियन है मुझे एसा प्रतीत होता है 😀,Not-Hope
726,Aap mein bahot josh aur himmat hai,Not-Hope
826,"गुरु जी हमारे यहाँ बाई सेक्सुअल को नबाबी शौक बोलते हैं।😊
वैसे आप बहुत अच्छा समझाते हैं।।",Not-Hope
2855,Nice lecture Sir ji,Not-Hope
2181,Extra bolta hai bhai,Not-Hope
687,Himmat chaiye kuch bhi bolne k liye ....or itne bade platform pr khud khade hokr kehna bahut badi baat hai....bhagwan aapko aapke kaam me her tarakki de🥮,Not-Hope
2371,Bharat me sexual education dene ki bhut zrurt h logo ko,Hope
136,Tera/teri voice kuch ajib hai... Esa lagta hai voice change karke koi ladka bol raha hai,Not-Hope
2787,You are the best teacher in the world,Not-Hope
628,"😍😍😍
Mashallah. 
 Mei roz jata hun GB road",Not-Hope
334,Aap apna naam change kar lo BEING HUMAN aap lagte nahi BEING RUDE rakh lo  ...wht a stupid thinking 🙄🙄🙄🙄🙄🙄🙄🤐🤐🤐🤐🤐,Not-Hope
1805,Ye sab scam h 😂,Not-Hope
390, @Karan Kumar  accha matlab ladka ladki ban jaye iska matlab hota hai gender dysphoria hona aur us me lakhon ka kharcha hota hai ok aur ye koi trend bilkul bhi nhi hai to ye  tumhari taraf se galat hai medical ke taraf se nahi,Not-Hope
2471,काश आप के जैसे सारे गुरु पढाते।,Not-Hope
1109,"सर जी नमस्ते,
 मैं आपकी क्लास मे ज्वाइन होना चाहता हूँ, सर प्लीज़ मुझे बताइये कि मैं आपकी क्लास कैसे ज्वाइन होउ।",Not-Hope
2083,Aap shayad jaante honge,Not-Hope
1817,Bahut sahi ❤,Not-Hope
2882,"❤️पहला सुख निरोगी काया,
दूसरा सुख घर में माया ❤️",Not-Hope
710," @ERBIUM  Tumhara dimag or tameez dono kho gya hai....kisi random ladki se aise puch rhe ho itna ghatiya sawal....comment dhyan se pdho maiine likha h I don't like prostitution and its a shameful work...
Wait kahin tum vo aadmi toh nahin jo khud in jb roads m jaata ho ya is work ko support krta ho? Shyd tbhi aisa comment kra h",Not-Hope
1039,Koti koti naman 🙏🙏🙏,Not-Hope
2106,First stage of the labour bata dijiye,Not-Hope
2091,"I think the way you talked about lgbtq was not insightful and it was more disrespectful as you used words like ""Mentally rog/Gaylogy/Heterosexual is normal etc"" how can you say term something mentally rog! It's very disheartening to see how Unaware indians are that our lecturers who should research about lgbtq and then give a lecture talkin' so casually",Hope
2771,"2.5k dislike वाले है, कौन हैं ये लोग कहा से आते है 😏😏😏.... 
Ye wo है जिनके चैनल पर view नही मिलता, 😜😜😜😁😁",Not-Hope
1561,Effeminate hum use kehte hai jo ladka ladki ki tarah byabohar karta hai opposite of Tomboy,Not-Hope
3142,"Bahut hi shandar samjhaya sir ji 
Love 💕💕 you sir",Not-Hope
1594,sir aapne jo trans gender padane se pehele jo bola vahi baat 100% sach baat bola,Not-Hope
3040,Mitha 😅😂😂,Not-Hope
2694,Hahahaha,Not-Hope
1112,Apko Kuch pata nehi.. Homosexual is not a crime.,Hope
465,Parfeat ..baat hai .. love ti,Hope
1560,Tysm sir ap hmsbhi ko hr field me knowledgeable bna rhe hi.,Not-Hope
1223,"Battmiji to ye hijde krte h sbse 
Hmne ek baar bahut koota tha doda doda kr 
Battmiji kr rhe the aakr train m 🤣🤣",Not-Hope
2953,Sir who is pandit din dayal upadhyay ispe ik clip bna digiye. Jadatar Jo govt. Scheme launch ho rhi hy usme Inka nam rhta hy. Please🙏,Not-Hope
3166,02:30,Not-Hope
2510,Ji Mein baat karunga jarur pm. Se don't vary,Not-Hope
1508,"Actually sexuality and gender are  two completely different things 
Sexuality is to whom you are attached to where as gender is how you identify yourself  and there so many types of gender in the world but what you are explaining is sexuality",Not-Hope
2405,Sir ap ki voice bhut slow aati h,Not-Hope
1104,Sir shemale kya hei,Not-Hope
660,Last line nhi samjhe koi samjhaega ...pyar ke mohalleee,Not-Hope
2896,😂🤣,Not-Hope
338,Sabka apna sochna h mujhe to esa hi lagta ukhad lo jo ukhad sako apna extra gyan apne pas rakho..,Not-Hope
215,Tik tok wale samrat?,Not-Hope
1615,Bahut gjab sir kitni uljhi baat ko aapne easy way mein samjha diya really good job sir,Not-Hope
1341,Sir aap ke pas kitna Sara gnyan hai,Not-Hope
2688,Aap jaisa to koi nhi h teacher sir aap smjhate h to sb aa jata h,Not-Hope
2519, @Fedo Dedo  u r judgemental if u think after jai hind he should use  indian flag,Not-Hope
2996,Finally someone said it 🙏,Not-Hope
1846, @Stealth Ragnarr  😆😆 sahi hai bhai 😂😂🙏🙏🙏,Not-Hope
1592,"Sir intersex wale ko vagina aur penis dono hai , to wo bachhe paida kar sakta hai kya..?",Not-Hope
2340,Godse patriotic tha,Not-Hope
2987,😂😂,Not-Hope
2696,Great..... Very well explained......,Not-Hope
816,Aur jo Sadi hi nahi karna chahta single life me interested h to usame kya h,Not-Hope
1067,Sir kuch ma English ke bare mein bata dijiye ki questions kese prepare krien achi percentage kese lein,Not-Hope
2428,यह विदेशी रीति रिवाज परंपरा भारत को ले डूबेगी कृपया इस पर ध्यान ना दें।,Not-Hope
274, @A..D..  hello ji namaste ji,Not-Hope
2404,sir aap ise mental bimari batana band kijiye,Hope
865,Lesbian k sath sambandh banane se bachhe hote hai ya nahi Gay k penis me tanaw aata hai ya nahi ye to bataya hi nahi....jo bataya wo to common information hai...,Not-Hope
101," @Belugay  nothing should be forced to accept or not personal choice
Jo jisme sukhi",Hope
1501,Sir aap bahut funny ho 🙏🙏🤗🤗,Not-Hope
2303,Phla insaan jo esi batein bhi bta rha h to bhi kuch ghinn nhi aa rhi ...mind positive hi h🙏👍thnx for teaching youth these things without vulgarity🔥🤘lot of respect sir ..i dont want to see any web series in my life but u gave all the info for knowledge purpose ✔️✨,Hope
171,Ha to ban ja kis me roka,Not-Hope
107,"Mard the tabhi thik the abhi kitna bhayanak lagte ho 
Itna hi hai to ladke ka hi gene implant karlo na q itni magaj maari BC",Not-Hope
2252,Muje to pata hi nhi tha Aisa bi hota hai.....,Not-Hope
1521,"Mujhe padhai chhode 14 sal ho gaye, lakin koi bhi bat samajh me nhi ata to, mai apki video serch karta hu aur100% satisfied hota hu,, i love khan sir, bhagvan apko bahut lambi umar de🙏🙏",Not-Hope
3187,Sir aapko ek din jaroor Bharat ratana milega.,Not-Hope
1826,"खान सर बहुत ही अच्छे टीचर है 
और हमारे एमपी में उनके वीडियो  
बुजुर्ग भी देखते हैं
अब बताइए बुजुर्ग किसकी तैयारी नहीं कर रहे हैं फिर भी उनके समझाने का अंदाज इतना अच्छा है कि उनके वीडियो को भी बुजुर्ग पसंद करते हैं और हम तो करते ही हैं",Not-Hope
2358,"Sir 
1.  जो male के शरीर के साथ जन्म लेते हैं, पर मानसिक रूप से female होते हैं या जो female शरीर के साथ जन्म लेते हैं पर मानसिक रूप से male होते हैं। उन्हें क्या कहते हैं?

 2.   transgender and transexual मे क्या अंतर होता है?",Not-Hope
2148,Ayush ansh is gay,Not-Hope
2032,Mast bola bhai ji aapne,Not-Hope
2185,Chootya hai ye,Not-Hope
2155,Phli baar Jana,Not-Hope
2411,Roop,Not-Hope
2641,Sir plz aap cyber law ke bare me kuch btaye plz,Not-Hope
2750,Bhot Accha padhate h sir kas me bhi Patna me rhe rha hota me isne hi tution karta,Not-Hope
3095,Correct 👍,Not-Hope
295,NAUZUBILLAH!!,Not-Hope
712,Ha gb rod 😜😜😜 sehi sikha h tum jesio ne hunar dhokhebazi ka,Not-Hope
72,Swapnal shinde kaha se khubsurat dikhti hai .jis gay ke pas paisa hai change ho ke lady ban jata hai .hadd hai yr ..aaj se 100 saal ya pehle kyo ni yeh paida hote the ..kehte hain bhagwan ne yeh kiya hai .hoti apni galti hao,Not-Hope
1524,Now This Is What We Called Padha Likha Gawar,Not-Hope
2430,ACEapp hai Asexual demisexul lgtbq gay lesbian community ke liye 😘😘😘☺☺☺💃💃⚘,Hope
2736,Inter se×,Not-Hope
3079,"Sir tomgirl bhi hota hai kya

By the way thank you sir .",Not-Hope
481," @Moni Mishra  tum kar wa lo, tum ko dimag bhi change kar wane ki jarurat h👻",Not-Hope
2374,Sir ladki Xx gunsuter boy XY gu suter se y kinner kon se gu suter se bante h please reply jarur karna,Not-Hope
1530,Es par apki sabi video hai?,Not-Hope
2728,Sir inter sex me bache peda hote he ya nahi,Not-Hope
1872,"Tomboy explaination 🤣🤣🤣 bahut badmaashi karegi kudegi fandegi, 😄😄",Not-Hope
1514,Aapko interst h homosexual me,Not-Hope
3158,😂😂 and I'm a Gay,Not-Hope
1762,App great he,Not-Hope
1490,"Amawas ki rat sooryagrahan... 
🤣🤣🤣🤣🤣🤣🤣🤣🤣
Thank you Sir...",Not-Hope
1171,बहुत ही सुन्दर तरीके से एक्सप्लेन किये सर 🌹🌹🌹🙏🙏🙏🙏,Not-Hope
2620,Good,Not-Hope
2077,Indira Gandhi tomboy thi,Not-Hope
2715,Wo shayad isiliye k sir ko on the spot ek dam se samaj nhi aaya k kya sab use kiya jaye is ko samjhane,Not-Hope
2302, @Dangerous Khiladi  hmm vo to hai..,Not-Hope
2372,There is number of tomboy in my school 🏫😂😂🙄,Not-Hope
2983,Heterosexual hai toh normal hai vrna gadbad hai ... (at 1:10).  Just woow initiation of the topic 🙌🏻 thoda gender equality and normalcy abnormally  pr bhi padh lijiyega 🙂,Not-Hope
405, @Karan Kumar   lol 😂 jawab to hai ni tere pass lmao kya bolega,Not-Hope
757,ḿéŕé Ĺíńǵ ḿéíń táńáv ńáhíń áátá thá áúŕ tíḿíńǵ bhí ḱáḿ thí éḱ dőćtőŕ ḱá ńúḿbéŕ ḿújhé ӲőúTúbé ṕéŕ śé Ḿíĺá dőćtőŕ ḱá ńúḿbéŕ ⁹⁰⁸⁴²⁷⁶⁶³⁵  íś dőćtőŕ ńé ḿújhé 1 ḿáhíńé ḿéíń ḿújhé bíĺḱúĺ thééḱ Ḱáŕ Díӳá áb.,Not-Hope
2149,"Shemale v hoti hai 1, girl with penis",Not-Hope
2339,Godse sesh bhakt tha,Not-Hope
2103,"Sir , sperm ki age 5-6 days nhi HOTI kya?????????? Apne 20mint btaya tha!",Not-Hope
97,ye sb mental disorder h sb chutiyapa h,Not-Hope
1333,दिल से धन्यवाद सर जी आप को. आप ज़ेसा इंसान दुनिया में और नहीं हैं... हमे गर्व है आप पर,Not-Hope
2553,Really a good knowledge,Not-Hope
743,22 -23 saal ki ladki 😂😂,Not-Hope
806,Sir ham aap ki classes join karna chahti hu,Not-Hope
2959,Sir can inter sex produce both sperm and ovum ?,Not-Hope
2113," @Dungar Mohiwada  नहीं, गौ माता का खाए 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣गौ माता के मांस में बहुत ज्यादा प्रोटीन खनिज लवण होते हैं (etc)",Not-Hope
2671,Don't think like tell by teacher use your own thoughts,Not-Hope
1535,"Trans gender - ex- faisu, riyaz 😂",Not-Hope
2509,Kr skte h..,Not-Hope
2256,Sir aise to kisi ka murderer mentality ho to usko maaf krr dena chaiye kyuki uska kya glti hai,Not-Hope
2505,Khan sir is friendly teacher 😁😁😁😁 you are god gifted. Jai hind sir🙏🚩🚩🚩,Not-Hope
148,I think ..Ye dimaagi bimaari h..or Kutch nhi,Not-Hope
2042,Me bhi confusing tha ab samjha hu ese sahi se....Thanks khan sahab,Not-Hope
2789,Ye lyf h hmari apni jisko jesa psnd vese jiyo ....mar mar k kya jeena khul k jiyo .....injoy your lyf ....dil dhadkne do💞,Not-Hope
2195,Thx Khan sir aaj hum ko malum pada ye sub aache se,Not-Hope
1315,"Sir aap bhut accha pdhate h sir .... I am ur biggest fan 
I want to be an IAS .jab hum ias banjyenge to sabse pehle aapse aaake milenge sir ......",Not-Hope
692,Aunty tum kahan se naaya maal lagti ho😂,Not-Hope
818,Sir g. Agar koi lesbian girl boy se relationship banane k baad bachha paida kr sakta hi??,Not-Hope
1728, @Aravind Sarkar  kya hua 🧐,Not-Hope
1386,Modi rojgaar do ka mudda par bhi video banayee,Not-Hope
1845,"Army purple bts ji, aap pakka koi immature teenage ho, K-pop fan please use mind don't try to show maturity by over maturity",Not-Hope
2442,Ye bhi upsc me aayega kya ?,Not-Hope
2901,Agreed,Not-Hope
1599,Fb id me check karlena,Not-Hope
2854, @Akmal Khan  ye hi mai bola mere bhai,Not-Hope
3033, @Kaintura ji  Same! i am bi too!,Not-Hope
701,1 ghanta ka 2000 jada h madam kum kro,Not-Hope
1499,abse hum train me kinnaro ko paise denge.. !!..,Hope
2838,Homosexuality is not a mental disorder,Not-Hope
921,वाकई मे खान सर क्या लिखा जाए आपके बारे मै जितना लिखू उतना कम है। पुरा Dout Clear कर दिये।  Jai Hind 🇮🇳 Sir.।  आप इतिहास हमेशा अमर रहेंगे। Love❤ u......,Not-Hope
1424,"Ha bhai , unko sirf chakkey korean boys psnd h",Not-Hope
1708,Lesbian ho Kya 🤣🤣..,Not-Hope
905,"It's a mansik rog, nothing else. Unemployment se yehi sab hota hai.",Not-Hope
454,Mujhe insab ko lekar bahut confusion hai,Not-Hope
2229,agar kisiko koi chij me attract nehi hai toh kya kahenge ???,Not-Hope
2244,Sir aap bhut achhe ho,Not-Hope
2466,Sir sar ISI tarah se video banakar dalte rahiyega kyunki ham log ko padhne asan  hoga ham log Patna ja to nahin sakte please,Not-Hope
2040,Sir  apne she male ka nahi bataya,Not-Hope
167,Agar aise bachho ko accept kare aur support kare toh vo bohot successful honge.. Apni soch badalna hai sabko Transgender and homosexuality k prati,Hope
730,mam apne bola come here pyar ke mohalle mai bhot pyar milega .. I will tell you one story i went there with two of my friends just to see how g b road looks. then when i and my friends reached there they both decided to go there first and I will go after them just to see how it looks. then suddenly they came with a sad face back. i asked them what happened they told me that their money got stollen by two of the ladies and both of the ladies blocked there path and stole there money by showing knife in her hands. the lesson I learend that i will not go there in future.,Not-Hope
2312,Meri school teacher se shadi kr lijiye sir,Not-Hope
1310,Yaha dar lagne laga hai mujhe,Not-Hope
2460, @Pushpa  pahadi kitchen  Haan pta h,Not-Hope
26,Apni sound quality to sahi krle bhai,Not-Hope
2004, @Priyanshu Kashyap  kyu kii Muslim community mein homosexual accept kabhi nahin kiya jata ... Aur otherwise I respect each and every religion 🙏😠,Not-Hope
2132,Moulana madarse  ke  bachho ki  piche se thukai kyu karte esi ke uupar q nahi bol te o bhi to homo sax ho hai na,Not-Hope
1897,Bi sexual to 90 per cent mil jayenge apko,Not-Hope
1652,"Transman kya hai ?
And transwoman kya hai 🙄?",Not-Hope
1622,Wha  sir aap ko Salaam hai,Not-Hope
587,When she said I am a Ghanaian why my brain said Mohandas Gandhi bhi scammer tha😅😂,Not-Hope
1401,Bahut achha se samjhate hai sir aap.,Not-Hope
997,बिलकुल नॉर्मल ढंग से समझ गए,Not-Hope
1176,Me ek ladki hu per mujhe ladhko jaise rehna acha lagta hai,Hope
1700,yeh ek ganwar hai isliye,Not-Hope
1040,Nahi dega to pit deta hai 😆😆😆😆😆,Not-Hope
33,"This girl is so graceful, har ladki kuchh bhi na sunn kar bas inke expressions, politeness and the way she's talking par dhyan de toh ye interview dekhna worth ho jaega 
❣",Not-Hope
2064,Agar koi ladka ladki ke sath se karna chahta hai aur ladke ke sath sex karna chahta hai krana nhi chahta karna chahta hai to vo kya hai,Not-Hope
3043, @Sheikh Salman  yup mean,Not-Hope
1379,Sir aap is video ke starting me jo muskurake ke bole n us time bahut acha laga 😂🙏🙏,Not-Hope
41,Sound toh aa hi nahin raha,Not-Hope
1876, @NEERAJ CHOPRA(REAL ID)  😂 haha nice joke....  mai ek transsexual hu so i know better...transgender k explanation glt tha..,Not-Hope
2684,"Happy to see that some teachers give sexual education to their students... because in this century no one gives sexual education 
Thank you sir🙏",Not-Hope
2345,Yha pr koi gay h 😀😀,Not-Hope
2783," @Arbina Khan  It's not a disease it's normal various studies have proved it so don't worry about that just like a man gets attracted to  girl, a man can also get attracted to a man so a girl can also don't worry it's normal",Not-Hope
2315,शायद queer उन लोगो को कहते है जिनको किसी के भी साथ सेक्स करना अच्छा नहीं लगता,Not-Hope
2118,"Thanks sir ji itne acche se clear karne k liye
Keep growing & luv from delhi❤️",Not-Hope
1750,Jism ladki Ka aur ling purush ka use kya kehte Hain?,Not-Hope
609,"वर्तमान समय में बहुत कम लोग ही ऐसे है जो अपने बारे में छोड़कर दूसरो के बारे में सोचते है और वह भी ऐसे लोगो के बारे ने जिन्हें समाज में हीन भावना से देखा जाता है जबकि ज्यादातर को अपहरण करके जबरदस्ती इस नर्क में धकेला जाता है 
आप वह काम कर रही है जो एक सरकार को करना चाहिए 
आपकी journey सुनकर लगा की वास्तव में आज की इस मतलबी दुनिया में भी कोई निस्वार्थ भाव से सेवा कर सकता है 
आपको शत शत नमन देवी 🙏🙏🙏🙏🙏🙏🙏🙏",Hope
1132,Bhut sunder sir!! 🙏🙏🙏🙏 Ap sch me ek mahan teacher h....i wish ki ek din hm bhi apke nkse kdm pr chlkr apka naam bhart me hi nhi blki  pure vishw me faila ske...taki aap jane ki ap kis level ki mehnat kr rhe h🙏🙏🙏🙏🙏🙏,Not-Hope
28,I must say....ek ek word ko kya handle or blance krke bola h👌👌👌👌🥰,Not-Hope
441," @Pinky Allahabadi  ye soch sirf transgender ko hi aate hai o bhale ladke jaise dikhte hai per unki aatma ladki ki hoti hai jiske wajah se surjerry karwate hai nhi to kisi ko shuk nhi hai ki o yaisa kare aur  aap kaise samjoge in baton ko, mai janti hu in baato ko keoky mai khud ek transgender hu ok! Ek baat aur koi bhi normal ladka ko shauk nhi ki o ladki bane!",Hope
665,"Ameer log, neta businesses men Celebrities, yeh sab 5 star hotels mein model bulate hain apne room par ...toh woh enjoyment hai.

Paise aur rutbe ka khel hai sab. Gareeb piye toh nashedi, ameer piye toh shauqeen.",Not-Hope
2314,Agar attract ni hote tb samjhiye ki gadbad h 😃😃😃😃 . Statement was just hilarious,Not-Hope
493,🤣🤣🤣Pgl h sb,Not-Hope
1258,Koi chhattisgarth ka gay hai kya,Not-Hope
1301,"Khan sir basic hormonal, chromosomal abnormalities bhi bataye... 👍",Not-Hope
2713,No he's not jo uncomfortable ho ye baat krne mai wo is topic ko samjha hi nhi sakta,Not-Hope
1304,Kya padane ka tarika hai aap jaisa na huaa hai na hoga kitne simple tarika se pada dete hai,Not-Hope
236,Problem kya h isme jo jyesa jina chahta h jine do,Hope
520,Tu humesha kush hai lagta hai,Not-Hope
735," @Sumanth D   if a man is subject to its instinctual drives (sex, test, pleasure), how can we say it's a form of human upliftment? Jaise janwar jie waise hi hm (bas thoda us vyavasthit tarike se) yahi hai na human evolution?",Not-Hope
2835,"Sir  abhi tak ap jaisa padane wala koi mila hi nahi aap itna asan samjhate hai turant samajh me aa jata hai
Apko dil se salam,, sir 
Apke jaisa koi nahi pada sakta",Not-Hope
592, @Yash Bhadouria  It doesn't make sense. Akele rehne se b you can't compare both. Think again brother. The village is a safe and beautiful place. If she said I can survive anywhere then it makes sense. But mai gaon me rhi to yahan b reh sakti hu. Matlab kya nikalta hai is baat ka.,Not-Hope
1303,I don't like your one statement : aap bole ke koi ladka gay nahi hona chahta aur shukr manao aap normal ho yaar yahi soch to hame nahi chahiye aur aap hi aisi soch ko badhava de rahe ho,Not-Hope
1387,Ghor...kalyug hai...😁😁 Pahle mard to mard hota tha...or aurat...aurat hi hoti thi...lekin aajkal pata nhi kya kya bimariya chal gai hai...,Not-Hope
2089,Please provide right information :- Sex aur gender dono ka matalab alag hai sex matlab humara ling aur gender matlab hum apne aap ko andar se kya sochte hh agar kisi ka sex aur gender same sota hh to wo cisgender kehlata hai aur dono alag hota h to wo transgender kehlata h,Hope
2941,don't call this a bimaari,Not-Hope
2980,"I am not happy with you're opinion by being so educated khan sir is saying being homophobic is not natural ? Don't prove yourself that you still Uneducated and you really have to work on your studies before you make judgment on any of the existing sexual preference. being gay or lesbian is a natural part of human life, a conclusion that has been drawn by researchers and scientists time and again. The identities of LGBTQ people are not up for debate. This new research also reconfirms the long established understanding that there is no conclusive degree to which nature or nurture influence how a gay or lesbian person behaves.”",Not-Hope
904,Sir aap such me bhut achhe teacher h bahut asani se samjhaa dete h,Not-Hope
2718,Inter sex wale bacha bacchi pedha kar sakte hai ki nahi🤔,Not-Hope
1279,सर जब आपका पहला वीडियो देखा था और आज देख रहा है स्मार्ट होते जा रहे हैं looking supb sir,Not-Hope
2566,She male / transgender.,Not-Hope
3072,Tum khaan naam change kar k koi brahman ya shudr naam rakhlo channel ka. Tum muslim k naam par dhaba ho.,Not-Hope
2551,LGBTQ होता है ना कि LGBTI,Not-Hope
2634,"🙏 kya samjhte ho sir
Mtlb काश मैं आपके क्लास में होता",Not-Hope
2545,Thanks,Not-Hope
706,"Gav me 2 saal jake ayi hu to kahi bhi jaa sakti hu ...
Bc gav r much safer than ur delhi homes...",Not-Hope
2822,1 nomber,Not-Hope
745, @gitanjali babbar  4:23 what do you mean by ganv me 2 saal rha kar aayi hu to khote me ja skati hu,Not-Hope
1939,Very good explanation. But the explanation for transgender is wrong. Please fix that.,Not-Hope
2654,"Ye kaisa sawal hai , vo insaan hai k feeling hota hi hai",Not-Hope
513, @Akash Jeelani peer  : sach baat ko hi samjane ki zarurat padhi hai aaj kal... Don't waste ur time n energy...,Not-Hope
81,लगता है इन को लड़की बनना अछा लगता है,Not-Hope
1308,"Uh said 2 type ke gender hote hai male or female 
Toh transgender kaha jayenge ??? 
Unka bhi toh gender hota hai naturally
Doesn't matter they have undeveloped private parts 
But still they are also natural",Hope
2666,khan sir digital marketing par koi vidio banaye,Not-Hope
914,Maja Aya 😂,Not-Hope
2949,Interesex m dono chiz ek m kese ho sakte?? Penis or vagina dono ek jagha? How possible,Not-Hope
774,Tumhare uper bitti to tumhe pata chalta,Not-Hope
329,Can they reproduce,Not-Hope
2054,Sir ye bataiye ki Gay me me bhi 2 tarah ke log hote honge 1. Jo dalta hoga and 2. Jo dalwata hoga. Thoda prakash daliye,Not-Hope
2001, @PRAKASH raj  he is not muslim bhai,Not-Hope
